song_name,valence,danceability,energy,tempo,liveness,loudness,speechiness,acousticness,mood
Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),0.153,0.8590000000000001,0.506,140.97299999999998,0.113,-8.115,0.418,0.105,Calm
Derek Fisher (feat. Lil Baby),0.706,0.759,0.562,145.139,0.0979,-6.228,0.149,0.293,Calm
Know Me,0.165,0.925,0.575,142.047,0.105,-5.992000000000001,0.163,0.0238,Calm
Who Hurt You,0.0763,0.411,0.5870000000000001,178.032,0.0821,-7.433,0.37,0.239,Calm
Many Men,0.281,0.635,0.7929999999999999,155.188,0.113,-4.333,0.0322,0.000647,Angry
Molly,0.0971,0.741,0.479,162.02,0.231,-5.899,0.302,0.0544,Calm
CASH COW,0.29,0.733,0.722,135.97,0.111,-5.07,0.0842,0.0359,Angry
Messy,0.642,0.765,0.578,113.995,0.12,-8.895,0.0937,0.17,Calm
Mad,0.0396,0.7509999999999999,0.321,139.987,0.145,-9.628,0.114,0.0559999999999999,Sad
No Opp Left Behind,0.26,0.823,0.703,178.043,0.294,-2.6910000000000003,0.298,0.0161,Angry
Red Beam,0.1969999999999999,0.311,0.637,161.856,0.11,-6.204,0.0754,0.0821,Angry
Zits,0.6659999999999999,0.735,0.613,162.92,0.103,-7.736000000000001,0.133,0.379,Happy
Rockstar Chainz,0.271,0.867,0.517,143.043,0.31,-6.914,0.307,0.0116,Calm
Designer Talk,0.259,0.873,0.4429999999999999,118.018,0.11,-8.707,0.0964,0.0197,Calm
"%%%% (feat. Lucki, Deezy)",0.419,0.7559999999999999,0.382,142.05700000000002,0.122,-12.445,0.283,0.2,Calm
Red Bottoms,0.0397,0.524,0.84,155.034,0.154,-4.556,0.0317,0.00361,Angry
I Dont Care,0.504,0.828,0.767,132.0,0.119,-8.607000000000001,0.0349,0.134,Calm
Fall,0.321,0.539,0.516,162.13,0.11,-6.033,0.0335,0.0123,Calm
